Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/api/breed/african/images/random/31,1,0,64.99552726745605,64.99552726745605,64.99552726745605,64.99552726745605,2016.0,0.0016677307467623246,0.0,65,65,65,65,65,65,65,65,65,65,65,65
GET,/api/breed/african/images/random/49,1,0,49.878597259521484,49.878597259521484,49.878597259521484,49.878597259521484,3169.0,0.0016677307467623246,0.0,50,50,50,50,50,50,50,50,50,50,50,50
GET,/api/breed/african/images/random/53,1,0,73.32491874694824,73.32491874694824,73.32491874694824,73.32491874694824,3422.0,0.0016677307467623246,0.0,73,73,73,73,73,73,73,73,73,73,73,73
GET,/api/breed/african/images/random/57,2,0,75,75.4859447479248,74.56445693969727,76.40743255615234,3680.5,0.003335461493524649,0.0,76,76,76,76,76,76,76,76,76,76,76,76
GET,/api/breed/african/images/random/58,1,0,50.28581619262695,50.28581619262695,50.28581619262695,50.28581619262695,3742.0,0.0016677307467623246,0.0,50,50,50,50,50,50,50,50,50,50,50,50
GET,/api/breed/airedale/images,4,0,57,339.2869234085083,45.13382911682129,675.7428646087646,13137.0,0.006670922987049298,0.0,580,580,680,680,680,680,680,680,680,680,680,680
GET,/api/breed/airedale/images/random,8,0,55,62.77313828468323,52.61111259460449,78.1087875366211,94.75,0.013341845974098597,0.0,65,70,73,73,78,78,78,78,78,78,78,78
GET,/api/breed/airedale/images/random/18,1,0,66.22695922851562,66.22695922851562,66.22695922851562,66.22695922851562,1200.0,0.0016677307467623246,0.0,66,66,66,66,66,66,66,66,66,66,66,66
GET,/api/breed/airedale/images/random/30,1,0,60.552120208740234,60.552120208740234,60.552120208740234,60.552120208740234,1977.0,0.0016677307467623246,0.0,61,61,61,61,61,61,61,61,61,61,61,61
GET,/api/breed/airedale/images/random/31,1,0,51.01203918457031,51.01203918457031,51.01203918457031,51.01203918457031,2043.0,0.0016677307467623246,0.0,51,51,51,51,51,51,51,51,51,51,51,51
GET,/api/breed/airedale/images/random/40,2,0,58,67.95370578765869,57.999372482299805,77.90803909301758,2628.0,0.003335461493524649,0.0,78,78,78,78,78,78,78,78,78,78,78,78
GET,/api/breed/airedale/images/random/55,1,0,54.563283920288086,54.563283920288086,54.563283920288086,54.563283920288086,3600.0,0.0016677307467623246,0.0,55,55,55,55,55,55,55,55,55,55,55,55
GET,/api/breed/akita/images,6,0,49,53.497751553853355,39.11757469177246,75.82473754882812,620.0,0.010006384480573947,0.0,55,55,62,62,76,76,76,76,76,76,76,76
GET,/api/breed/akita/images/random,13,0,67,76.39488807091347,50.00424385070801,197.92723655700684,94.92307692307692,0.02168049970791022,0.0,67,75,78,83,97,200,200,200,200,200,200,200
GET,/api/breed/akita/images/random/3,2,0,52.20627784729004,54.13234233856201,52.20627784729004,56.058406829833984,233.5,0.003335461493524649,0.0,56,56,56,56,56,56,56,56,56,56,56,56
GET,/api/breed/akita/images/random/35,1,0,48.45786094665527,48.45786094665527,48.45786094665527,48.45786094665527,620.0,0.0016677307467623246,0.0,48,48,48,48,48,48,48,48,48,48,48,48
GET,/api/breed/akita/images/random/39,1,0,68.8936710357666,68.8936710357666,68.8936710357666,68.8936710357666,620.0,0.0016677307467623246,0.0,69,69,69,69,69,69,69,69,69,69,69,69
GET,/api/breed/akita/images/random/44,2,0,56.02908134460449,59.90135669708252,56.02908134460449,63.77363204956055,620.0,0.003335461493524649,0.0,64,64,64,64,64,64,64,64,64,64,64,64
GET,/api/breed/akita/images/random/47,1,0,65.13667106628418,65.13667106628418,65.13667106628418,65.13667106628418,620.0,0.0016677307467623246,0.0,65,65,65,65,65,65,65,65,65,65,65,65
GET,/api/breed/akita/images/random/54,1,0,61.31625175476074,61.31625175476074,61.31625175476074,61.31625175476074,620.0,0.0016677307467623246,0.0,61,61,61,61,61,61,61,61,61,61,61,61
GET,/api/breed/akita/images/random/56,1,0,59.66615676879883,59.66615676879883,59.66615676879883,59.66615676879883,620.0,0.0016677307467623246,0.0,60,60,60,60,60,60,60,60,60,60,60,60
GET,/api/breed/akita/images/random/59,1,0,87.94784545898438,87.94784545898438,87.94784545898438,87.94784545898438,620.0,0.0016677307467623246,0.0,88,88,88,88,88,88,88,88,88,88,88,88
