Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/api/breed/hound/english/images/random/11,1,0,56.98895454406738,56.98895454406738,56.98895454406738,56.98895454406738,795.0,0.004194985433433807,0.0,57,57,57,57,57,57,57,57,57,57,57,57
GET,/api/breed/hound/english/images/random/47,1,0,114.55607414245605,114.55607414245605,114.55607414245605,114.55607414245605,3303.0,0.004194985433433807,0.0,110,110,110,110,110,110,110,110,110,110,110,110
GET,/api/breed/hound/english/images/random/49,2,0,60.00089645385742,70.81162929534912,60.00089645385742,81.62236213684082,3452.0,0.008389970866867614,0.0,82,82,82,82,82,82,82,82,82,82,82,82
GET,/api/breed/hound/ibizan/images/random/18,1,0,57.00111389160156,57.00111389160156,57.00111389160156,57.00111389160156,1266.0,0.004194985433433807,0.0,57,57,57,57,57,57,57,57,57,57,57,57
GET,/api/breed/hound/ibizan/images/random/41,1,0,68.74942779541016,68.74942779541016,68.74942779541016,68.74942779541016,2849.0,0.004194985433433807,0.0,69,69,69,69,69,69,69,69,69,69,69,69
GET,/api/breed/hound/ibizan/images/random/9,1,0,55.87601661682129,55.87601661682129,55.87601661682129,55.87601661682129,649.0,0.004194985433433807,0.0,56,56,56,56,56,56,56,56,56,56,56,56
GET,/api/breed/hound/list,1,0,43.81275177001953,43.81275177001953,43.81275177001953,43.81275177001953,94.0,0.004194985433433807,0.0,44,44,44,44,44,44,44,44,44,44,44,44
GET,/api/breed/hound/plott/images/random,3,0,55,55.77993392944336,50.749778747558594,61.79976463317871,94.0,0.01258495630030142,0.0,55,55,62,62,62,62,62,62,62,62,62,62
GET,/api/breed/hound/plott/images/random/27,1,0,66.64776802062988,66.64776802062988,66.64776802062988,66.64776802062988,162.0,0.004194985433433807,0.0,67,67,67,67,67,67,67,67,67,67,67,67
GET,/api/breed/husky/images/random,1,0,54.02231216430664,54.02231216430664,54.02231216430664,54.02231216430664,90.0,0.004194985433433807,0.0,54,54,54,54,54,54,54,54,54,54,54,54
GET,/api/breed/husky/images/random/13,1,0,64.19968605041504,64.19968605041504,64.19968605041504,64.19968605041504,842.0,0.004194985433433807,0.0,64,64,64,64,64,64,64,64,64,64,64,64
GET,/api/breed/husky/images/random/51,1,0,54.1987419128418,54.1987419128418,54.1987419128418,54.1987419128418,3199.0,0.004194985433433807,0.0,54,54,54,54,54,54,54,54,54,54,54,54
GET,/api/breed/keeshond/images/random/41,1,0,53.50017547607422,53.50017547607422,53.50017547607422,53.50017547607422,2699.0,0.004194985433433807,0.0,54,54,54,54,54,54,54,54,54,54,54,54
GET,/api/breed/keeshond/images/random/9,1,0,47.89900779724121,47.89900779724121,47.89900779724121,47.89900779724121,618.0,0.004194985433433807,0.0,48,48,48,48,48,48,48,48,48,48,48,48
GET,/api/breed/kelpie/images/random,1,0,64.37373161315918,64.37373161315918,64.37373161315918,64.37373161315918,93.0,0.004194985433433807,0.0,64,64,64,64,64,64,64,64,64,64,64,64
GET,/api/breed/kelpie/images/random/24,1,0,54.99148368835449,54.99148368835449,54.99148368835449,54.99148368835449,1541.0,0.004194985433433807,0.0,55,55,55,55,55,55,55,55,55,55,55,55
GET,/api/breed/kelpie/images/random/33,1,0,66.00022315979004,66.00022315979004,66.00022315979004,66.00022315979004,2105.0,0.004194985433433807,0.0,66,66,66,66,66,66,66,66,66,66,66,66
