Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/api/breed/akita/images/random/27,1,0,52.95133590698242,52.95133590698242,52.95133590698242,52.95133590698242,620.0,0.0016676288679514462,0.0,53,53,53,53,53,53,53,53,53,53,53,53
GET,/api/breed/akita/images/random/32,1,0,54.55923080444336,54.55923080444336,54.55923080444336,54.55923080444336,620.0,0.0016676288679514462,0.0,55,55,55,55,55,55,55,55,55,55,55,55
GET,/api/breed/akita/images/random/46,1,0,64.4378662109375,64.4378662109375,64.4378662109375,64.4378662109375,620.0,0.0016676288679514462,0.0,64,64,64,64,64,64,64,64,64,64,64,64
GET,/api/breed/akita/images/random/55,1,0,72.68595695495605,72.68595695495605,72.68595695495605,72.68595695495605,620.0,0.0016676288679514462,0.0,73,73,73,73,73,73,73,73,73,73,73,73
GET,/api/breed/akita/images/random/57,1,0,68.20368766784668,68.20368766784668,68.20368766784668,68.20368766784668,620.0,0.0016676288679514462,0.0,68,68,68,68,68,68,68,68,68,68,68,68
GET,/api/breed/appenzeller/images,2,0,87.04519271850586,88.1662368774414,87.04519271850586,89.28728103637695,10270.0,0.0033352577359028923,0.0,89,89,89,89,89,89,89,89,89,89,89,89
GET,/api/breed/appenzeller/images/random,3,0,55,59.4480832417806,51.5284538269043,71.66123390197754,97.33333333333333,0.005002886603854339,0.0,55,55,72,72,72,72,72,72,72,72,72,72
GET,/api/breed/appenzeller/images/random/12,1,0,64.9254322052002,64.9254322052002,64.9254322052002,64.9254322052002,846.0,0.0016676288679514462,0.0,65,65,65,65,65,65,65,65,65,65,65,65
GET,/api/breed/appenzeller/images/random/30,1,0,54.08167839050293,54.08167839050293,54.08167839050293,54.08167839050293,2064.0,0.0016676288679514462,0.0,54,54,54,54,54,54,54,54,54,54,54,54
GET,/api/breed/appenzeller/images/random/37,1,0,50.015926361083984,50.015926361083984,50.015926361083984,50.015926361083984,2541.0,0.0016676288679514462,0.0,50,50,50,50,50,50,50,50,50,50,50,50
GET,/api/breed/appenzeller/images/random/48,1,0,53.36117744445801,53.36117744445801,53.36117744445801,53.36117744445801,3284.0,0.0016676288679514462,0.0,53,53,53,53,53,53,53,53,53,53,53,53
GET,/api/breed/australian/list,19,0,48,52.83645579689428,36.08536720275879,90.93332290649414,43.0,0.031684948491077475,0.0,48,52,57,61,84,91,91,91,91,91,91,91
GET,/api/breed/australian/shepherd/images,1,0,62.56866455078125,62.56866455078125,62.56866455078125,62.56866455078125,303.0,0.0016676288679514462,0.0,63,63,63,63,63,63,63,63,63,63,63,63
GET,/api/breed/australian/shepherd/images/random,4,0,67,77.57365703582764,59.13877487182617,111.46068572998047,98.0,0.006670515471805785,0.0,72,72,110,110,110,110,110,110,110,110,110,110
GET,/api/breed/australian/shepherd/images/random/31,1,0,59.862375259399414,59.862375259399414,59.862375259399414,59.862375259399414,303.0,0.0016676288679514462,0.0,60,60,60,60,60,60,60,60,60,60,60,60
GET,/api/breed/basenji/images,3,0,56,55.0378163655599,46.05531692504883,63.24911117553711,13378.0,0.005002886603854339,0.0,56,56,63,63,63,63,63,63,63,63,63,63
